observed brix,observed polarity, temp,corrected brix,corrected pol,normal recovery
17,46,19,16.44,11.24,7.668
17,47,19,16.44,11.48,7.836
17,48,19,16.44,11.72,8.004
17,49,19,16.44,11.97,8.179
17,50,19,16.44,12.21,8.347
17,51,19,16.44,12.46,8.522
17,52,19,16.44,12.70,8.69
17,53,19,16.44,12.95,8.865
17,54,19,16.44,13.20,9.04
17,55,19,16.44,13.43,9.201
17,56,19,16.44,13.68,9.376
17,57,19,16.44,13.92,9.544
17,58,19,16.44,14.17,9.719
17,59,19,16.44,14.41,9.887
17,60,19,16.44,14.66,10.062
17,61,19,16.44,14.90,10.23
17,62,19,16.44,15.14,10.398
17,63,19,16.44,15.39,10.573
17,64,19,16.44,15.63,10.741
17,65,19,16.44,15.88,10.916
17,66,19,16.44,16.12,11.084
17,67,19,16.44,16.37,11.259
17,68,19,16.44,16.61,11.427
17,69,19,16.44,16.85,11.595
17,10,20,16.5,2.44,1.508
17,11,20,16.5,2.69,1.683
17,12,20,16.5,2.93,1.851
17,13,20,16.5,3.18,2.026
17,14,20,16.5,3.42,2.194
17,15,20,16.5,3.66,2.362
17,16,20,16.5,3.91,2.537
17,17,20,16.5,4.15,2.705
17,18,20,16.5,4.40,2.88
17,19,20,16.5,4.64,3.048
17,20,20,16.5,4.89,3.223
17,21,20,16.5,5.12,3.384
17,22,20,16.5,5.37,3.559
17,23,20,16.5,5.62,3.734
17,24,20,16.5,5.86,3.902
17,25,20,16.5,6.11,4.077
17,26,20,16.5,6.35,4.245
17,27,20,16.5,6.59,4.413
17,28,20,16.5,6.84,4.588
17,29,20,16.5,7.08,4.756
17,30,20,16.5,7.33,4.931
17,31,20,16.5,7.57,5.099
17,32,20,16.5,7.82,5.274
17,33,20,16.5,8.06,5.442
17,34,20,16.5,8.30,5.61
17,35,20,16.5,8.55,5.785
17,36,20,16.5,8.79,5.953
17,37,20,16.5,9.04,6.128
17,38,20,16.5,9.28,6.296
17,39,20,16.5,9.53,6.471
17,40,20,16.5,9.77,6.639
17,41,20,16.5,10.01,6.807
17,42,20,16.5,10.26,6.982
17,43,20,16.5,10.50,7.15
17,44,20,16.5,10.75,7.325
17,45,20,16.5,10.99,7.493
17,46,20,16.5,11.24,7.668
17,47,20,16.5,11.48,7.836
17,48,20,16.5,11.72,8.004
17,49,20,16.5,11.97,8.179
17,50,20,16.5,12.21,8.347
17,51,20,16.5,12.46,8.522
17,52,20,16.5,12.70,8.69
17,53,20,16.5,12.95,8.865
17,54,20,16.5,13.20,9.04
17,55,20,16.5,13.43,9.201
17,56,20,16.5,13.68,9.376
17,57,20,16.5,13.92,9.544
17,58,20,16.5,14.17,9.719
17,59,20,16.5,14.41,9.887
17,60,20,16.5,14.66,10.062
17,61,20,16.5,14.90,10.23
17,62,20,16.5,15.14,10.398
17,63,20,16.5,15.39,10.573
17,64,20,16.5,15.63,10.741
17,65,20,16.5,15.88,10.916
17,66,20,16.5,16.12,11.084
17,67,20,16.5,16.37,11.259
17,68,20,16.5,16.61,11.427
17,69,20,16.5,16.85,11.595
17,10,21,16.56,2.44,1.508
17,11,21,16.56,2.69,1.683
17,12,21,16.56,2.93,1.851
17,13,21,16.56,3.18,2.026
17,14,21,16.56,3.42,2.194
17,15,21,16.56,3.66,2.362
17,16,21,16.56,3.91,2.537
17,17,21,16.56,4.15,2.705
17,18,21,16.56,4.40,2.88
17,19,21,16.56,4.64,3.048
17,20,21,16.56,4.89,3.223
17,21,21,16.56,5.12,3.384
17,22,21,16.56,5.37,3.559
17,23,21,16.56,5.62,3.734
17,24,21,16.56,5.86,3.902
17,25,21,16.56,6.11,4.077
17,26,21,16.56,6.35,4.245
17,27,21,16.56,6.59,4.413
17,28,21,16.56,6.84,4.588
17,29,21,16.56,7.08,4.756
17,30,21,16.56,7.33,4.931
17,31,21,16.56,7.57,5.099
17,32,21,16.56,7.82,5.274
17,33,21,16.56,8.06,5.442
17,34,21,16.56,8.30,5.61
17,35,21,16.56,8.55,5.785
17,36,21,16.56,8.79,5.953
17,37,21,16.56,9.04,6.128
17,38,21,16.56,9.28,6.296
17,39,21,16.56,9.53,6.471
17,40,21,16.56,9.77,6.639
17,41,21,16.56,10.01,6.807
17,42,21,16.56,10.26,6.982
17,43,21,16.56,10.50,7.15
17,44,21,16.56,10.75,7.325
17,45,21,16.56,10.99,7.493
17,46,21,16.56,11.24,7.668
17,47,21,16.56,11.48,7.836
17,48,21,16.56,11.72,8.004
17,49,21,16.56,11.97,8.179
17,50,21,16.56,12.21,8.347
17,51,21,16.56,12.46,8.522
17,52,21,16.56,12.70,8.69
17,53,21,16.56,12.95,8.865
17,54,21,16.56,13.20,9.04
17,55,21,16.56,13.43,9.201
17,56,21,16.56,13.68,9.376
17,57,21,16.56,13.92,9.544
17,58,21,16.56,14.17,9.719
17,59,21,16.56,14.41,9.887
17,60,21,16.56,14.66,10.062
17,61,21,16.56,14.90,10.23
17,62,21,16.56,15.14,10.398
17,63,21,16.56,15.39,10.573
17,64,21,16.56,15.63,10.741
17,65,21,16.56,15.88,10.916
17,66,21,16.56,16.12,11.084
17,67,21,16.56,16.37,11.259
17,68,21,16.56,16.61,11.427
17,69,21,16.56,16.85,11.595
17,10,22,16.62,2.44,1.508
17,11,22,16.62,2.69,1.683
17,12,22,16.62,2.93,1.851
17,13,22,16.62,3.18,2.026
17,14,22,16.62,3.42,2.194
17,15,22,16.62,3.66,2.362
17,16,22,16.62,3.91,2.537
17,17,22,16.62,4.15,2.705
17,18,22,16.62,4.40,2.88
17,19,22,16.62,4.64,3.048
17,20,22,16.62,4.89,3.223
17,21,22,16.62,5.12,3.384
17,22,22,16.62,5.37,3.559
17,23,22,16.62,5.62,3.734
17,24,22,16.62,5.86,3.902
17,25,22,16.62,6.11,4.077
17,26,22,16.62,6.35,4.245
17,27,22,16.62,6.59,4.413
17,28,22,16.62,6.84,4.588
17,29,22,16.62,7.08,4.756
17,30,22,16.62,7.33,4.931
17,31,22,16.62,7.57,5.099
17,32,22,16.62,7.82,5.274
17,33,22,16.62,8.06,5.442
17,34,22,16.62,8.30,5.61
17,35,22,16.62,8.55,5.785
17,36,22,16.62,8.79,5.953
17,37,22,16.62,9.04,6.128
17,38,22,16.62,9.28,6.296
17,39,22,16.62,9.53,6.471
17,40,22,16.62,9.77,6.639
17,41,22,16.62,10.01,6.807
17,42,22,16.62,10.26,6.982
17,43,22,16.62,10.50,7.15
17,44,22,16.62,10.75,7.325
17,45,22,16.62,10.99,7.493
17,46,22,16.62,11.24,7.668
17,47,22,16.62,11.48,7.836
17,48,22,16.62,11.72,8.004
17,49,22,16.62,11.97,8.179
17,50,22,16.62,12.21,8.347
17,51,22,16.62,12.46,8.522
17,52,22,16.62,12.70,8.69
17,53,22,16.62,12.95,8.865
17,54,22,16.62,13.20,9.04
17,55,22,16.62,13.43,9.201
17,56,22,16.62,13.68,9.376
17,57,22,16.62,13.92,9.544
17,58,22,16.62,14.17,9.719
17,59,22,16.62,14.41,9.887
17,60,22,16.62,14.66,10.062
17,61,22,16.62,14.90,10.23
17,62,22,16.62,15.14,10.398
17,63,22,16.62,15.39,10.573
17,64,22,16.62,15.63,10.741
17,65,22,16.62,15.88,10.916
17,66,22,16.62,16.12,11.084
17,67,22,16.62,16.37,11.259
17,68,22,16.62,16.61,11.427
17,69,22,16.62,16.85,11.595
17,10,23,16.68,2.44,1.508
17,11,23,16.68,2.69,1.683
17,12,23,16.68,2.93,1.851
17,13,23,16.68,3.18,2.026
17,14,23,16.68,3.42,2.194
17,15,23,16.68,3.66,2.362
17,16,23,16.68,3.91,2.537
17,17,23,16.68,4.15,2.705
17,18,23,16.68,4.40,2.88
17,19,23,16.68,4.64,3.048
17,20,23,16.68,4.89,3.223
17,21,23,16.68,5.12,3.384
17,22,23,16.68,5.37,3.559
17,23,23,16.68,5.62,3.734
17,24,23,16.68,5.86,3.902
17,25,23,16.68,6.11,4.077
17,26,23,16.68,6.35,4.245
17,27,23,16.68,6.59,4.413
17,28,23,16.68,6.84,4.588
17,29,23,16.68,7.08,4.756
17,30,23,16.68,7.33,4.931
17,31,23,16.68,7.57,5.099
17,32,23,16.68,7.82,5.274
17,33,23,16.68,8.06,5.442
17,34,23,16.68,8.30,5.61
17,35,23,16.68,8.55,5.785
17,36,23,16.68,8.79,5.953
17,37,23,16.68,9.04,6.128
17,38,23,16.68,9.28,6.296
17,39,23,16.68,9.53,6.471
17,40,23,16.68,9.77,6.639
17,41,23,16.68,10.01,6.807
17,42,23,16.68,10.26,6.982
17,43,23,16.68,10.50,7.15
17,44,23,16.68,10.75,7.325
17,45,23,16.68,10.99,7.493
17,46,23,16.68,11.24,7.668
17,47,23,16.68,11.48,7.836
17,48,23,16.68,11.72,8.004
17,49,23,16.68,11.97,8.179
17,50,23,16.68,12.21,8.347
17,51,23,16.68,12.46,8.522
17,52,23,16.68,12.70,8.69
17,53,23,16.68,12.95,8.865
17,54,23,16.68,13.20,9.04
17,55,23,16.68,13.43,9.201
17,56,23,16.68,13.68,9.376
17,57,23,16.68,13.92,9.544
17,58,23,16.68,14.17,9.719
17,59,23,16.68,14.41,9.887
17,60,23,16.68,14.66,10.062
17,61,23,16.68,14.90,10.23
17,62,23,16.68,15.14,10.398
17,63,23,16.68,15.39,10.573
17,64,23,16.68,15.63,10.741
17,65,23,16.68,15.88,10.916
17,66,23,16.68,16.12,11.084
17,67,23,16.68,16.37,11.259
17,68,23,16.68,16.61,11.427
17,69,23,16.68,16.85,11.595
17,10,24,16.75,2.44,1.508
17,11,24,16.75,2.69,1.683
17,12,24,16.75,2.93,1.851
17,13,24,16.75,3.18,2.026
17,14,24,16.75,3.42,2.194
17,15,24,16.75,3.66,2.362
17,16,24,16.75,3.91,2.537
17,17,24,16.75,4.15,2.705
17,18,24,16.75,4.40,2.88
17,19,24,16.75,4.64,3.048
17,20,24,16.75,4.89,3.223
17,21,24,16.75,5.12,3.384
17,22,24,16.75,5.37,3.559
17,23,24,16.75,5.62,3.734
17,24,24,16.75,5.86,3.902
17,25,24,16.75,6.11,4.077
17,26,24,16.75,6.35,4.245
17,27,24,16.75,6.59,4.413
17,28,24,16.75,6.84,4.588
17,29,24,16.75,7.08,4.756
17,30,24,16.75,7.33,4.931
17,31,24,16.75,7.57,5.099
17,32,24,16.75,7.82,5.274
17,33,24,16.75,8.06,5.442
17,34,24,16.75,8.30,5.61
17,35,24,16.75,8.55,5.785
17,36,24,16.75,8.79,5.953
17,37,24,16.75,9.04,6.128
17,38,24,16.75,9.28,6.296
17,39,24,16.75,9.53,6.471
17,40,24,16.75,9.77,6.639
17,41,24,16.75,10.01,6.807
17,42,24,16.75,10.26,6.982
17,43,24,16.75,10.50,7.15
17,44,24,16.75,10.75,7.325
17,45,24,16.75,10.99,7.493
17,46,24,16.75,11.24,7.668
17,47,24,16.75,11.48,7.836
17,48,24,16.75,11.72,8.004
17,49,24,16.75,11.97,8.179
17,50,24,16.75,12.21,8.347
17,51,24,16.75,12.46,8.522
17,52,24,16.75,12.70,8.69
17,53,24,16.75,12.95,8.865
17,54,24,16.75,13.20,9.04
17,55,24,16.75,13.43,9.201
17,56,24,16.75,13.68,9.376
17,57,24,16.75,13.92,9.544
17,58,24,16.75,14.17,9.719
17,59,24,16.75,14.41,9.887
17,60,24,16.75,14.66,10.062
17,61,24,16.75,14.90,10.23
17,62,24,16.75,15.14,10.398
17,63,24,16.75,15.39,10.573
17,64,24,16.75,15.63,10.741
17,65,24,16.75,15.88,10.916
17,66,24,16.75,16.12,11.084
17,67,24,16.75,16.37,11.259
17,68,24,16.75,16.61,11.427
17,69,24,16.75,16.85,11.595
17,10,25,16.82,2.44,1.508
17,11,25,16.82,2.69,1.683
17,12,25,16.82,2.93,1.851
17,13,25,16.82,3.18,2.026
17,14,25,16.82,3.42,2.194
17,15,25,16.82,3.66,2.362
17,16,25,16.82,3.91,2.537
17,17,25,16.82,4.15,2.705
17,18,25,16.82,4.40,2.88
17,19,25,16.82,4.64,3.048
17,20,25,16.82,4.89,3.223
17,21,25,16.82,5.12,3.384
17,22,25,16.82,5.37,3.559
17,23,25,16.82,5.62,3.734
17,24,25,16.82,5.86,3.902
17,25,25,16.82,6.11,4.077
17,26,25,16.82,6.35,4.245
17,27,25,16.82,6.59,4.413
17,28,25,16.82,6.84,4.588
17,29,25,16.82,7.08,4.756
17,30,25,16.82,7.33,4.931
17,31,25,16.82,7.57,5.099
17,32,25,16.82,7.82,5.274
17,33,25,16.82,8.06,5.442
17,34,25,16.82,8.30,5.61
17,35,25,16.82,8.55,5.785
17,36,25,16.82,8.79,5.953
17,37,25,16.82,9.04,6.128
17,38,25,16.82,9.28,6.296
17,39,25,16.82,9.53,6.471
17,40,25,16.82,9.77,6.639
17,41,25,16.82,10.01,6.807
17,42,25,16.82,10.26,6.982
17,43,25,16.82,10.50,7.15
17,44,25,16.82,10.75,7.325
17,45,25,16.82,10.99,7.493
17,46,25,16.82,11.24,7.668
17,47,25,16.82,11.48,7.836
17,48,25,16.82,11.72,8.004
17,49,25,16.82,11.97,8.179
17,50,25,16.82,12.21,8.347
17,51,25,16.82,12.46,8.522
17,52,25,16.82,12.70,8.69
17,53,25,16.82,12.95,8.865
17,54,25,16.82,13.20,9.04
17,55,25,16.82,13.43,9.201
17,56,25,16.82,13.68,9.376
17,57,25,16.82,13.92,9.544
17,58,25,16.82,14.17,9.719
17,59,25,16.82,14.41,9.887
17,60,25,16.82,14.66,10.062
17,61,25,16.82,14.90,10.23
17,62,25,16.82,15.14,10.398
17,63,25,16.82,15.39,10.573
17,64,25,16.82,15.63,10.741
17,65,25,16.82,15.88,10.916
17,66,25,16.82,16.12,11.084
17,67,25,16.82,16.37,11.259
17,68,25,16.82,16.61,11.427
17,69,25,16.82,16.85,11.595
17,10,26,16.89,2.44,1.508
17,11,26,16.89,2.69,1.683
17,12,26,16.89,2.93,1.851
17,13,26,16.89,3.18,2.026
17,14,26,16.89,3.42,2.194
17,15,26,16.89,3.66,2.362
17,16,26,16.89,3.91,2.537
17,17,26,16.89,4.15,2.705
17,18,26,16.89,4.40,2.88
17,19,26,16.89,4.64,3.048
17,20,26,16.89,4.89,3.223
17,21,26,16.89,5.12,3.384
17,22,26,16.89,5.37,3.559
17,23,26,16.89,5.62,3.734
17,24,26,16.89,5.86,3.902
17,25,26,16.89,6.11,4.077
17,26,26,16.89,6.35,4.245
17,27,26,16.89,6.59,4.413
17,28,26,16.89,6.84,4.588
17,29,26,16.89,7.08,4.756
17,30,26,16.89,7.33,4.931
17,31,26,16.89,7.57,5.099
17,32,26,16.89,7.82,5.274
17,33,26,16.89,8.06,5.442
17,34,26,16.89,8.30,5.61
17,35,26,16.89,8.55,5.785
17,36,26,16.89,8.79,5.953
17,37,26,16.89,9.04,6.128
17,38,26,16.89,9.28,6.296
17,39,26,16.89,9.53,6.471
17,40,26,16.89,9.77,6.639
17,41,26,16.89,10.01,6.807
17,42,26,16.89,10.26,6.982
17,43,26,16.89,10.50,7.15
17,44,26,16.89,10.75,7.325
17,45,26,16.89,10.99,7.493
17,46,26,16.89,11.24,7.668
17,47,26,16.89,11.48,7.836
17,48,26,16.89,11.72,8.004
17,49,26,16.89,11.97,8.179
17,50,26,16.89,12.21,8.347
17,51,26,16.89,12.46,8.522
17,52,26,16.89,12.70,8.69
17,53,26,16.89,12.95,8.865
17,54,26,16.89,13.20,9.04
17,55,26,16.89,13.43,9.201
17,56,26,16.89,13.68,9.376
17,57,26,16.89,13.92,9.544
17,58,26,16.89,14.17,9.719
17,59,26,16.89,14.41,9.887
17,60,26,16.89,14.66,10.062
17,61,26,16.89,14.90,10.23
17,62,26,16.89,15.14,10.398
17,63,26,16.89,15.39,10.573
17,64,26,16.89,15.63,10.741
17,65,26,16.89,15.88,10.916
17,66,26,16.89,16.12,11.084
17,67,26,16.89,16.37,11.259
17,68,26,16.89,16.61,11.427
17,69,26,16.89,16.85,11.595
17,10,27,16.96,2.44,1.508
17,11,27,16.96,2.69,1.683
17,12,27,16.96,2.93,1.851
17,13,27,16.96,3.18,2.026
17,14,27,16.96,3.42,2.194
17,15,27,16.96,3.66,2.362
17,16,27,16.96,3.91,2.537
17,17,27,16.96,4.15,2.705
17,18,27,16.96,4.40,2.88
17,19,27,16.96,4.64,3.048
17,20,27,16.96,4.89,3.223
17,21,27,16.96,5.12,3.384
17,22,27,16.96,5.37,3.559
17,23,27,16.96,5.62,3.734
17,24,27,16.96,5.86,3.902
17,25,27,16.96,6.11,4.077
17,26,27,16.96,6.35,4.245
17,27,27,16.96,6.59,4.413
17,28,27,16.96,6.84,4.588
17,29,27,16.96,7.08,4.756
17,30,27,16.96,7.33,4.931
17,31,27,16.96,7.57,5.099
17,32,27,16.96,7.82,5.274
17,33,27,16.96,8.06,5.442
17,34,27,16.96,8.30,5.61
17,35,27,16.96,8.55,5.785
17,36,27,16.96,8.79,5.953
17,37,27,16.96,9.04,6.128
17,38,27,16.96,9.28,6.296
17,39,27,16.96,9.53,6.471
17,40,27,16.96,9.77,6.639
17,41,27,16.96,10.01,6.807
17,42,27,16.96,10.26,6.982
17,43,27,16.96,10.50,7.15
17,44,27,16.96,10.75,7.325
17,45,27,16.96,10.99,7.493
17,46,27,16.96,11.24,7.668
17,47,27,16.96,11.48,7.836
17,48,27,16.96,11.72,8.004
17,49,27,16.96,11.97,8.179
17,50,27,16.96,12.21,8.347
17,51,27,16.96,12.46,8.522
17,52,27,16.96,12.70,8.69
17,53,27,16.96,12.95,8.865
17,54,27,16.96,13.20,9.04
17,55,27,16.96,13.43,9.201
17,56,27,16.96,13.68,9.376
17,57,27,16.96,13.92,9.544
17,58,27,16.96,14.17,9.719
17,59,27,16.96,14.41,9.887
17,60,27,16.96,14.66,10.062
17,61,27,16.96,14.90,10.23
17,62,27,16.96,15.14,10.398
17,63,27,16.96,15.39,10.573
17,64,27,16.96,15.63,10.741
17,65,27,16.96,15.88,10.916
17,66,27,16.96,16.12,11.084
17,67,27,16.96,16.37,11.259
17,68,27,16.96,16.61,11.427
17,69,27,16.96,16.85,11.595
17,10,28,17.04,2.44,1.508
17,11,28,17.04,2.69,1.683
17,12,28,17.04,2.93,1.851
17,13,28,17.04,3.18,2.026
17,14,28,17.04,3.42,2.194
17,15,28,17.04,3.66,2.362
17,16,28,17.04,3.91,2.537
17,17,28,17.04,4.15,2.705
17,18,28,17.04,4.40,2.88
17,19,28,17.04,4.64,3.048
17,20,28,17.04,4.89,3.223
17,21,28,17.04,5.12,3.384
17,22,28,17.04,5.37,3.559
17,23,28,17.04,5.62,3.734
17,24,28,17.04,5.86,3.902
17,25,28,17.04,6.11,4.077
17,26,28,17.04,6.35,4.245
17,27,28,17.04,6.59,4.413
17,28,28,17.04,6.84,4.588
17,29,28,17.04,7.08,4.756
17,30,28,17.04,7.33,4.931
17,31,28,17.04,7.57,5.099
17,32,28,17.04,7.82,5.274
17,33,28,17.04,8.06,5.442
17,34,28,17.04,8.30,5.61
17,35,28,17.04,8.55,5.785
17,36,28,17.04,8.79,5.953
17,37,28,17.04,9.04,6.128
17,38,28,17.04,9.28,6.296
17,39,28,17.04,9.53,6.471
17,40,28,17.04,9.77,6.639
17,41,28,17.04,10.01,6.807
17,42,28,17.04,10.26,6.982
17,43,28,17.04,10.50,7.15
17,44,28,17.04,10.75,7.325
17,45,28,17.04,10.99,7.493
17,46,28,17.04,11.24,7.668
17,47,28,17.04,11.48,7.836
17,48,28,17.04,11.72,8.004
17,49,28,17.04,11.97,8.179
17,50,28,17.04,12.21,8.347
17,51,28,17.04,12.46,8.522
17,52,28,17.04,12.70,8.69
17,53,28,17.04,12.95,8.865
17,54,28,17.04,13.20,9.04
17,55,28,17.04,13.43,9.201
17,56,28,17.04,13.68,9.376
17,57,28,17.04,13.92,9.544
17,58,28,17.04,14.17,9.719
17,59,28,17.04,14.41,9.887
17,60,28,17.04,14.66,10.062
17,61,28,17.04,14.90,10.23
17,62,28,17.04,15.14,10.398
17,63,28,17.04,15.39,10.573
17,64,28,17.04,15.63,10.741
17,65,28,17.04,15.88,10.916
17,66,28,17.04,16.12,11.084
17,67,28,17.04,16.37,11.259
17,68,28,17.04,16.61,11.427
17,69,28,17.04,16.85,11.595
17,10,29,17.11,2.44,1.508
17,11,29,17.11,2.69,1.683
17,12,29,17.11,2.93,1.851
17,13,29,17.11,3.18,2.026
17,14,29,17.11,3.42,2.194
17,15,29,17.11,3.66,2.362
17,16,29,17.11,3.91,2.537
17,17,29,17.11,4.15,2.705
17,18,29,17.11,4.40,2.88
17,19,29,17.11,4.64,3.048
17,20,29,17.11,4.89,3.223
17,21,29,17.11,5.12,3.384
17,22,29,17.11,5.37,3.559
17,23,29,17.11,5.62,3.734
17,24,29,17.11,5.86,3.902
17,25,29,17.11,6.11,4.077
17,26,29,17.11,6.35,4.245
17,27,29,17.11,6.59,4.413
17,28,29,17.11,6.84,4.588
17,29,29,17.11,7.08,4.756
17,30,29,17.11,7.33,4.931
17,31,29,17.11,7.57,5.099
17,32,29,17.11,7.82,5.274
17,33,29,17.11,8.06,5.442
17,34,29,17.11,8.30,5.61
17,35,29,17.11,8.55,5.785
17,36,29,17.11,8.79,5.953
17,37,29,17.11,9.04,6.128
17,38,29,17.11,9.28,6.296
17,39,29,17.11,9.53,6.471
17,40,29,17.11,9.77,6.639
17,41,29,17.11,10.01,6.807
17,42,29,17.11,10.26,6.982
17,43,29,17.11,10.50,7.15
17,44,29,17.11,10.75,7.325
17,45,29,17.11,10.99,7.493
17,46,29,17.11,11.24,7.668
17,47,29,17.11,11.48,7.836
17,48,29,17.11,11.72,8.004
17,49,29,17.11,11.97,8.179
17,50,29,17.11,12.21,8.347
17,51,29,17.11,12.46,8.522
17,52,29,17.11,12.70,8.69
17,53,29,17.11,12.95,8.865
17,54,29,17.11,13.20,9.04
17,55,29,17.11,13.43,9.201
17,56,29,17.11,13.68,9.376
17,57,29,17.11,13.92,9.544
17,58,29,17.11,14.17,9.719
17,59,29,17.11,14.41,9.887
17,60,29,17.11,14.66,10.062
17,61,29,17.11,14.90,10.23
17,62,29,17.11,15.14,10.398
17,63,29,17.11,15.39,10.573
